Sample_ID,Site,site_season,Sample_Type,Sample_Date,Season,Wet_Dry_Season,Sample_Time,Temperature_C,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,pH,Turbidity_NTU,E_coli_MPN_100_mL,Log10_E_coli_MPN_100_ml,HF183MGB_GC_100_mL,Log_HF183MGB_GC_100_mL,E_Coli_GC_100_mL,Log_E_Coli_GC_100_mL,DG3_GC_100_mL,Log_DG3_GC_100_mL,Salmonella_Presence_Absence,Stx2_Presence_Absence,24_hr_Precipitation_in,48_hr_Precipitation_in,72_hr_Precipitation_in,Rain_Intensity_24_hr_prior_in_hr,Rain_Intensity_48_hr_prior_in_hr,Rain_Intensity_72_hr_prior_in_hr,Impervious_Percent,Forest_Percent,Grasslands_Percent
PC1,Northwest,Northwest_Dry,GrbW,11/23/2015,Fall,Dry,1117,7.8,194.4,11.22,7.14,NA,997,3.0,"20,924",4.3,"18,865",4.3,ND,0.0,A,A,0.00,0.00,0.00,0.000,0.000,0.000,59.0,13.9,0.9
PC11,Lindsay Street,Lindsay Street_Dry,GrbW,11/23/2015,Fall,Dry,1411,15.1,254.5,6.86,7.38,NA,389,2.6,"29,690",4.5,"6,456",3.8,ND,0.0,P,A,0.00,0.00,0.00,0.000,0.000,0.000,94.5,0.0,0.0
PC12,Greensferry,Greensferry_Dry,GrbW,11/23/2015,Fall,Dry,1445,17.5,262.3,6.81,7.44,NA,"101,330",5.0,"8,257,914",6.9,"2,774,038",6.4,"15,677",4.2,A,A,0.00,0.00,0.00,0.000,0.000,0.000,83.8,0.4,0.0
PC13,Burbank,Burbank_Dry,GrbW,11/23/2015,Fall,Dry,1508,10.6,134.3,9.6,7.69,NA,"2,463",3.4,"362,783",5.6,"49,685",4.7,ND,0.0,A,P,0.00,0.00,0.00,0.000,0.000,0.000,68.7,1.4,0.0
PC2,Lillian Cooper Park,Lillian Cooper Park_Dry,GrbW,11/23/2015,Fall,Dry,1137,10.2,99.2,7.56,7.38,NA,294,2.5,ND,0.0,"9,568",4.0,ND,0.0,P,P,0.00,0.00,0.00,0.000,0.000,0.000,47.8,21.3,0.0
PC3,James Jackson,James Jackson_Dry,GrbW,11/23/2015,Fall,Dry,1152,7.8,184.9,10.89,7.27,NA,824,2.9,"26,183",4.4,"22,629",4.4,ND,0.0,A,A,0.00,0.00,0.00,0.000,0.000,0.000,60.1,13.1,1.0
PC4,Spring Street,Spring Street_Dry,GrbW,11/23/2015,Fall,Dry,1211,8.5,119.4,9.72,7.45,NA,396,2.6,"19,409",4.3,"8,798",3.9,ND,0.0,A,P,0.00,0.00,0.00,0.000,0.000,0.000,41.8,21.9,0.7
PC5,Kerry Circle,Kerry Circle_Dry,GrbW,11/23/2015,Fall,Dry,1227,9.5,221.3,9.58,7.36,NA,708,2.9,"15,325",4.2,"20,401",4.3,ND,0.0,A,A,0.00,0.00,0.00,0.000,0.000,0.000,69.7,8.6,1.0
PC6,Hortense,Hortense_Dry,GrbW,11/23/2015,Fall,Dry,1259,9.1,182.9,9.87,7.48,NA,"1,818",3.3,"94,050",5.0,"47,089",4.7,ND,0.0,A,P,0.00,0.00,0.00,0.000,0.000,0.000,77.3,4.1,0.2
PC7,Grove Park,Grove Park_Dry,GrbW,11/23/2015,Fall,Dry,1308,9.2,142.5,10.75,7.59,NA,957,3.0,"83,228",4.9,"53,340",4.7,ND,0.0,P,P,0.00,0.00,0.00,0.000,0.000,0.000,48.8,11.2,0.0
PC9,North Ave,North Ave_Dry,GrbW,11/23/2015,Fall,Dry,1338,15.1,203.9,8.67,7.66,NA,"8,864",3.9,"2,770,201",6.4,"385,465",5.6,"22,317",4.3,P,A,0.00,0.00,0.00,0.000,0.000,0.000,77.0,1.2,0.0
PC15,Northwest,Northwest_Dry,GrbW,12/7/2015,Fall,Dry,1035,9,181,11.84,7.39,NA,"1,461",3.2,"176,641",5.2,"27,910",4.4,ND,0.0,A,A,0.00,0.00,0.00,0.000,0.000,0.000,59.0,13.9,0.9
