Sample_ID,Site,site_season,Sample_Type,Sample_Date,Season,Wet_Dry_Season,Sample_Time,Temperature_C,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,pH,Turbidity_NTU,E_coli_MPN_100_mL,Log10_E_coli_MPN_100_ml,HF183MGB_GC_100_mL,Log_HF183MGB_GC_100_mL,E_Coli_GC_100_mL,Log_E_Coli_GC_100_mL,DG3_GC_100_mL,Log_DG3_GC_100_mL,Salmonella_presence_absence,Stx2_presence_absence,24_hr_Precipitation_in,48_hr_Precipitation_in,72_hr_Precipitation_in,Rain_Intensity_24_hr_prior_in_hr,Rain_Intensity_48_hr_prior_in_hr,Rain_Intensity_72_hr_prior_in_hr,Impervious_Percent,Forest_Percent,Grasslands_Percent
PC1,Northwest,Northwest_Dry,GrbW,11/23/15,Fall,Dry,1117,7.8,194.4,11.22,7.14,NA,997.00,3,20924.00,4.3,18865.00,4.3,0.00,0,0,0,0,0,0,0,0,0,59,13.9,0.9
PC11,Lindsay Street,Lindsay Street_Dry,GrbW,11/23/15,Fall,Dry,1411,15.1,254.5,6.86,7.38,NA,389.00,2.6,29690.00,4.5,6456.00,3.8,0.00,0,1,0,0,0,0,0,0,0,94.5,0,0
PC12,Greensferry,Greensferry_Dry,GrbW,11/23/15,Fall,Dry,1445,17.5,262.3,6.81,7.44,NA,101330.00,5,8257914.00,6.9,2774038.00,6.4,15677.00,4.2,0,0,0,0,0,0,0,0,83.8,0.4,0
PC13,Burbank,Burbank_Dry,GrbW,11/23/15,Fall,Dry,1508,10.6,134.3,9.6,7.69,NA,2463.00,3.4,362783.00,5.6,49685.00,4.7,0.00,0,0,1,0,0,0,0,0,0,68.7,1.4,0
PC2,Lillian Cooper Park,Lillian Cooper Park_Dry,GrbW,11/23/15,Fall,Dry,1137,10.2,99.2,7.56,7.38,NA,294.00,2.5,0.00,0,9568.00,4,0.00,0,1,1,0,0,0,0,0,0,47.8,21.3,0
PC3,James Jackson,James Jackson_Dry,GrbW,11/23/15,Fall,Dry,1152,7.8,184.9,10.89,7.27,NA,824.00,2.9,26183.00,4.4,22629.00,4.4,0.00,0,0,0,0,0,0,0,0,0,60.1,13.1,1
PC4,Spring Street,Spring Street_Dry,GrbW,11/23/15,Fall,Dry,1211,8.5,119.4,9.72,7.45,NA,396.00,2.6,19409.00,4.3,8798.00,3.9,0.00,0,0,1,0,0,0,0,0,0,41.8,21.9,0.7
PC5,Kerry Circle,Kerry Circle_Dry,GrbW,11/23/15,Fall,Dry,1227,9.5,221.3,9.58,7.36,NA,708.00,2.9,15325.00,4.2,20401.00,4.3,0.00,0,0,0,0,0,0,0,0,0,69.7,8.6,1
PC6,Hortense,Hortense_Dry,GrbW,11/23/15,Fall,Dry,1259,9.1,182.9,9.87,7.48,NA,1818.00,3.3,94050.00,5,47089.00,4.7,0.00,0,0,1,0,0,0,0,0,0,77.3,4.1,0.2
PC7,Grove Park,Grove Park_Dry,GrbW,11/23/15,Fall,Dry,1308,9.2,142.5,10.75,7.59,NA,957.00,3,83228.00,4.9,53340.00,4.7,0.00,0,1,1,0,0,0,0,0,0,48.8,11.2,0
PC9,North Ave,North Ave_Dry,GrbW,11/23/15,Fall,Dry,1338,15.1,203.9,8.67,7.66,NA,8864.00,3.9,2770201.00,6.4,385465.00,5.6,22317.00,4.3,1,0,0,0,0,0,0,0,77,1.2,0
PC15,Northwest,Northwest_Dry,GrbW,12/7/15,Fall,Dry,1035,9,181,11.84,7.39,NA,1461.00,3.2,176641.00,5.2,27910.00,4.4,0.00,0,0,0,0,0,0,0,0,0,59,13.9,0.9
PC16,Lillian Cooper Park,Lillian Cooper Park_Dry,GrbW,12/7/15,Fall,Dry,1056,11.3,101.2,7.17,7.65,NA,598.00,2.8,0.00,0,19764.00,4.3,0.00,0,1,0,0,0,0,0,0,0,47.8,21.3,0
PC17,James Jackson,James Jackson_Dry,GrbW,12/7/15,Fall,Dry,1111,8.9,173.6,12.34,7.57,NA,1068.00,3,22183.00,4.3,37008.00,4.6,0.00,0,0,0,0,0,0,0,0,0,60.1,13.1,1
PC18,Spring Street,Spring Street_Dry,GrbW,12/7/15,Fall,Dry,1125,10.2,118.7,11.47,7.82,NA,83.00,1.9,1602.00,3.2,2034.00,3.3,0.00,0,0,0,0,0,0,0,0,0,41.8,21.9,0.7
PC19,Kerry Circle,Kerry Circle_Dry,GrbW,12/7/15,Fall,Dry,1138,10,194,11.75,7.63,NA,2581.00,3.4,67016.00,4.8,31853.00,4.5,0.00,0,0,0,0,0,0,0,0,0,69.7,8.6,1
PC20,Hortense,Hortense_Dry,GrbW,12/7/15,Fall,Dry,1156,11.1,185.6,11.1,7.66,NA,496.00,2.7,87648.00,4.9,16612.00,4.2,0.00,0,0,0,0,0,0,0,0,0,77.3,4.1,0.2
