Lab_ID,Site,Sample Type,Sample Date,Season,Wet/Dry Season,Mainstem_Tributary,Sample Time,Temperature (°C),Conductivity (µS/cm),Dissolved Oxygen (mg/L),pH,Tape Down (m),Turbidity (NTU),SPC (µS/cm),E. coli (MPN/100 mL),Log10 E. coli MPN/100 ml,HF183MGB (GC/100 mL),Log HF183MGB (GC/100 mL),E. Coli (GC/100 mL),Log E. Coli (GC/100 mL),DG3 (GC/100 mL),Log DG3 (GC/100 mL),Salmonella (Presence/Absence),Stx2 (Presence/Absence),Discharge (cfs),24 hr Precipitation (in),48 hr Precipitation (in),72 hr Precipitation (in),"Rain Intensity 
24 hr prior (in/hr)","Rain Intensity 
48 hr prior (in/hr)","Rain Intensity 
72 hr prior (in/hr)",Impervious_Percent,Forest_Percent,Grasslands_Percent
PC1-0915,Burbank,GrbW,9/1/2015,Summer,Dry,Mainstem,12:00:00 PM,,,,,,,,942,3,"5,056",3.7,"7,065",3.8,,,,,,0.02,0.19,0.75,0.001,0.004,0.01,68.7,1.4,0
PC13,Burbank,GrbW,11/23/2015,Fall,Dry,Mainstem,1508,10.6,134.3,9.6,7.69,3.8,NA,,"2,463",3.4,"362,783",5.6,"49,685",4.7,ND,0,A,P,,0,0,0,0,0,0,68.7,1.4,0
PC26,Burbank,GrbW,12/7/2015,Fall,Dry,Mainstem,1308,13.5,111.5,9.93,7.89,8,NA,,"4,572",3.7,"152,869",5.2,"23,334",4.4,ND,0,P,P,,0,0,0,0,0,0,68.7,1.4,0
PC29,Burbank,GrbW,1/12/2016,Winter,Wet,Mainstem,1030,6.1,191,11.75,7,,1.6,,"9,762",4,"1,409,048",6.1,,,"1,949",3.3,A,P,,0,0,0.27,0,0,0.004,68.7,1.4,0
PC55,Burbank,GrbW,1/26/2016,Winter,Wet,Mainstem,1241,10,131,11.22,7.56,3.8,NA,,"3,619",3.6,,,,,ND,0,P,A,,0,0,0,0,0,0,68.7,1.4,0
PC68,Burbank,GrbW,2/9/2016,Winter,Wet,Mainstem,1342,7.6,130.5,11.53,7.72,3.85,NA,,712,2.9,"109,386",5,"11,836",4.1,ND,0,A,P,,0,0,0,0,0,0,68.7,1.4,0
PC83,Burbank,GrbW,2/23/2016,Winter,Wet,Mainstem,1345,13.9,104.8,9.69,7.57,3.8,NA,,"1,715",3.2,"47,475",4.7,"25,592",4.4,"3,097",3.5,P,P,,1.01,1.13,1.16,0.042,0.024,0.016,68.7,1.4,0
PC96,Burbank,GrbW,3/8/2016,Winter,Wet,Mainstem,1332,16.4,158.7,12.56,8.09,3.85,NA,,510,2.7,"5,537",3.7,"6,685",3.8,ND,0,A,P,,0,0,0,0,0,0,68.7,1.4,0
PC110,Burbank,GrbW,3/22/2016,Spring,Wet,Mainstem,1345,14.8,147.7,13.03,3.5,3.85,0.84,,860,2.9,"34,544",4.5,"17,776",4.2,ND,0,A,A,,0,0,0,0,0,0,68.7,1.4,0
PC112,Burbank,GrbW,4/6/2016,Spring,Wet,Mainstem,1155,12.81,208,9.91,7.32,,2.2,,"5,848",3.8,"174,170",5.2,"39,586",4.6,ND,0,A,P,0.505,0,0,0,0,0,0,68.7,1.4,0
PC140,Burbank,GrbW,4/20/2016,Spring,Wet,Mainstem,1343,20,172.6,8.36,7.47,3.8,2,,"1,895",3.3,"77,534",4.9,"22,679",4.4,ND,0,P,P,,0,0,0,0,0,0,68.7,1.4,0
PC154,Burbank,GrbW,5/3/2016,Spring,Wet,Mainstem,1242,20.1,174.6,6.66,7.23,3.84,6,,"2,022",3.3,"115,689",5.1,"27,740",4.4,ND,0,P,A,,0.02,0.04,0.5,0.001,0.001,0.007,68.7,1.4,0
PC169,Burbank,GrbW,5/17/2016,Spring,Wet,Mainstem,1312,19.3,84.6,6.62,7.09,3.8,24.5,,"11,478",4.1,"1,353,396",6.1,"171,579",5.2,"14,874",4.2,P,P,,0.74,0.74,0.74,0.031,0.015,0.01,68.7,1.4,0
PC184,Burbank,GrbW,6/1/2016,Spring,Wet,Mainstem,1240,23.5,176.1,7.35,7.51,3.9,5,,"9,753",4,"194,133",5.3,"28,956",4.5,ND,0,P,A,,0,0,0,0,0,0,68.7,1.4,0
PC198,Burbank,GrbW,6/14/2016,Spring,Wet,Mainstem,1226,24.6,173.2,7.57,7.95,3.9,3.5,,"1,241",3.1,"14,541",4.2,"5,614",3.7,LOQ,3,P,P,,0,0,0,0,0,0,68.7,1.4,0
PC216,Burbank,GrbW,6/28/2016,Summer,Dry,Mainstem,1230,24.8,171.2,7.52,7.57,3.85,1.52,,928,3,"2,486",3.4,"8,294",3.9,ND,0,A,A,,0.06,0.15,0.15,0.003,0.003,0.002,68.7,1.4,0
PC229,Burbank,GrbW,7/12/2016,Summer,Dry,Mainstem,1304,25.1,188.1,7.53,7.6,3.86,3.43,,760,2.9,"26,079",4.4,"13,875",4.1,ND,0,A,P,,0.06,0.06,0.06,0.003,0.001,0.001,68.7,1.4,0
PC232,Burbank,GrbW,7/26/2016,Summer,Dry,Mainstem,1012,24.6,174.4,6.63,7.45,3.9,3.25,,"1,821",3.3,"30,474",4.5,"8,472",3.9,ND,0,P,A,,0,0,0,0,0,0,68.7,1.4,0
PC257,Burbank,GrbW,8/9/2016,Summer,Dry,Mainstem,1325,24.9,160.2,6.44,7.33,3.92,16.4,,"2,785",3.4,"39,070",4.6,"9,765",4,ND,0,P,P,,0.07,0.35,0.35,0.003,0.007,0.005,68.7,1.4,0
PC269,Burbank,GrbW,8/30/2016,Summer,Dry,Mainstem,1337,24.8,170.4,7.24,7.5,3.94,2.74,,"1,291",3.1,"36,460",4.6,"11,688",4.1,ND,0,P,P,,0,0,0,0,0,0,68.7,1.4,0
PC281,Burbank,GrbW,9/15/2016,Summer,Dry,Mainstem,1317,23.2,179.7,6.57,7.32,3.91,1.85,,170,2.2,"14,384",4.2,"78,178",4.9,ND,0,A,A,,0,0,0.06,0,0,0.001,68.7,1.4,0
PC293,Burbank,GrbW,9/27/2016,Fall,Dry,Mainstem,1245,22.7,179.7,6.93,7.49,3.98,2.32,,451,2.7,"3,332",3.5,"66,306",4.8,ND,0,A,P,,0,0,0,0,0,0,68.7,1.4,0
PC308,Burbank,GrbW,10/18/2016,Fall,Dry,Mainstem,950,18.1,169.7,6.44,7.38,3.86,2.1,,"1,069",3,"40,652",4.6,"32,838",4.5,ND,0,A,P,0.09,0,0,0.03,0,0,0,68.7,1.4,0
PC320,Burbank,GrbW,10/25/2016,Fall,Dry,Mainstem,1335,15.1,161.7,7.86,7.37,3.85,1.94,,"1,183",3.1,"11,600",4.1,"239,801",5.4,ND,0,A,P,,0,0,0,0,0,0,68.7,1.4,0
PC332,Burbank,GrbW,11/7/2016,Fall,Dry,Mainstem,1348,14.7,152.9,8.15,7.33,3.83,1.83,,454,2.7,"4,339",3.6,"62,533",4.8,ND,0,A,P,,0,0,0,0,0,0,68.7,1.4,0
PC344,Burbank,GrbW,11/21/2016,Fall,Dry,Mainstem,1318,8.9,137.2,9.83,7.39,3.8,1.5,,"1,325",3.1,"61,448",4.8,"9,235",4,ND,0,A,A,,0,0,0,0,0,0,68.7,1.4,0
PC356,Burbank,GrbW,12/5/2016,Fall,Dry,Mainstem,1408,11.3,89.1,7.7,7.05,3.9,13.2,,"2,087",3.3,"169,008",5.2,"25,134",4.4,LOQ,3,A,A,,0.37,0.87,0.87,0.015,0.018,0.012,68.7,1.4,0
