Date,flow_cfs,precip_inch,baseflow_cfs
12/4/2002,4.81,0.04,2.405
12/5/2002,47.9,0.83,4.20125
12/6/2002,5.81,0.01,5.172705
12/7/2002,4.68,0,4.578935
12/8/2002,4.47,0,4.47
12/9/2002,4.57,0,4.47375
12/10/2002,87.3,1.16,7.038175
12/11/2002,19.9,0,8.649645
12/12/2002,7.09,0.01,6.56393
12/13/2002,39.6,0.65,7.10613
12/14/2002,9.27,0,7.469545
12/15/2002,6.8,0,6.13863
12/16/2002,6.15,0,5.77318
12/17/2002,5.7,0,5.52675
12/18/2002,5.34,0,5.34
12/19/2002,7.77,0.6,5.43113
12/20/2002,48,0.01,6.32962
12/21/2002,6.4,0,5.92284
12/22/2002,5.76,0,5.577125
12/23/2002,5.38,0.09,5.38
12/24/2002,500,2.29,16.276185
12/25/2002,17.6,0,12.61987
12/26/2002,11.5,0.01,9.28972
12/27/2002,9.82,0,8.304565
12/28/2002,8.71,0,7.64919
12/29/2002,8.09,0,7.265745
12/30/2002,7.58,0,6.954255
12/31/2002,9.06,0.14,6.930145
1/1/2003,15.7,0.08,7.04366
1/2/2003,10,0.14,7.141635
1/3/2003,10.8,0,7.116745
1/4/2003,6.69,0,6.131195
1/5/2003,6.44,0,5.965955
1/6/2003,6.13,0,5.778805
1/7/2003,7.82,0,5.780735
1/8/2003,6.17,0,5.73606
1/9/2003,5.95,0.02,5.595335
1/10/2003,6.28,0.03,5.572515
1/11/2003,5.48,0,5.309495
1/12/2003,5.31,0,5.214115
1/13/2003,5.3,0,5.201545
1/14/2003,5.26,0,5.174375
1/15/2003,5.12,0,5.10027
1/16/2003,7.11,0.12,5.134465
1/17/2003,6.4,0,5.18573
1/18/2003,5.05,0,5.05
1/19/2003,5.15,0,5.05375
1/20/2003,5.19,0,5.06247
1/21/2003,5.4,0.19,5.07991
1/22/2003,17.9,0.13,5.36022
1/23/2003,5.31,0,5.216985
1/24/2003,5.12,0,5.118295
1/25/2003,5.31,0,5.121575
1/26/2003,5.35,0,5.128425
1/27/2003,5.29,0,5.133685
1/28/2003,5.11,0,5.11
1/29/2003,22.3,0.74,5.75463
1/30/2003,61.2,0.6,7.744445
1/31/2003,9.77,0,8.31808
2/1/2003,7.69,0,7.20252
2/2/2003,7.17,0,6.913535
2/3/2003,6.83,0,6.729635
2/4/2003,14.9,0.31,6.866675
2/5/2003,6.58,0,6.58
2/6/2003,26,0.69,7.045205
2/7/2003,26.3,0.02,7.701795
2/8/2003,8.15,0,7.34502
2/9/2003,7.33,0.16,6.886375
2/10/2003,27.5,0.28,7.21326
2/11/2003,7.99,0,7.09623
2/12/2003,6.67,0,6.39052
2/13/2003,6.2,0,6.142385
2/14/2003,6.39,0.05,6.14113
2/15/2003,6.07,0,6.07
2/16/2003,55.3,0.91,7.53496
2/17/2003,12.2,0,8.43355
2/18/2003,7.68,0,7.27563
2/19/2003,6.96,0,6.89744
2/20/2003,6.83,0,6.83
2/21/2003,7.65,0.1,6.86075
2/22/2003,199,1.56,11.28418
2/23/2003,13.3,0,10.674555
2/24/2003,10.1,0,8.92655
2/25/2003,9.07,0,8.33728
2/26/2003,14.7,0.34,8.379155
2/27/2003,20,0.15,8.59634
2/28/2003,9.45,0,8.282445
3/1/2003,8.62,0,7.789605
3/2/2003,7.32,0,7.098625
3/3/2003,6.86,0,6.86
3/4/2003,6.92,0.02,6.86225
3/5/2003,83,1.48,9.71958
3/6/2003,425,1.26,18.636655
3/7/2003,15.9,0,12.049965
3/8/2003,11.4,0,9.579015
3/9/2003,9.76,0,8.64461
3/10/2003,8.77,0,8.07924
3/11/2003,8.23,0,7.76418
3/12/2003,7.75,0,7.49614
3/13/2003,7.5,0,7.355625
3/14/2003,7.2,0,7.2
3/15/2003,33,0.59,8.1675
3/16/2003,8.2,0,8.2
3/17/2003,40.1,0.65,8.98539
3/18/2003,11.1,0.01,9.535065
3/19/2003,21,0.53,9.64347
3/20/2003,146,0.3,12.139765
3/21/2003,11.7,0,9.50849
3/22/2003,9.39,0,8.222625
3/23/2003,8.51,0,7.70581
3/24/2003,7.89,0,7.34317
3/25/2003,7.51,0,7.116535
3/26/2003,8.28,0.01,7.09849
3/27/2003,7.7,0,7.07901
3/28/2003,6.97,0,6.749845
3/29/2003,6.82,0.05,6.660035
3/30/2003,14.9,0.25,6.79242
3/31/2003,6.96,0,6.68742
4/1/2003,6.67,0,6.5262
4/2/2003,6.5,0,6.432985
4/3/2003,6.37,0,6.365185
4/4/2003,6.36,0.01,6.36
4/5/2003,21.2,0.3,6.9165
4/6/2003,19.2,0.34,7.78995
4/7/2003,32,,8.416375
4/8/2003,10,,8.71458
4/9/2003,12.8,0.18,8.660725
4/10/2003,9.92,0.05,8.454875
4/11/2003,8.13,0,7.477365
4/12/2003,7.43,0,7.088635
4/13/2003,7.11,0,6.907445
4/14/2003,6.86,0,6.77109
4/15/2003,6.74,0,6.706315
4/16/2003,6.67,0,6.67
4/17/2003,22.8,0.26,7.04417
4/18/2003,9.71,0.01,7.34856
4/19/2003,6.85,0,6.773
4/20/2003,6.69,0,6.69
4/21/2003,34.7,0.36,7.431145
4/22/2003,8.97,0,7.91319
4/23/2003,6.96,0,6.96
4/24/2003,7.3,0.31,6.97275
4/25/2003,151,1.31,9.80354
4/26/2003,10.5,0,8.68938
4/27/2003,7.98,0,7.333655
4/28/2003,7.31,0,6.95983
4/29/2003,6.92,0,6.744345
4/30/2003,6.74,0,6.64375
5/1/2003,6.54,0,6.54
5/2/2003,18.5,0.39,6.9885
5/3/2003,20,0.11,7.538455
5/4/2003,7.14,0,7.14
5/5/2003,209,3.43,14.7097
5/6/2003,902,1.62,35.9006
5/7/2003,53.5,0.67,33.48155
5/8/2003,40.4,0.01,25.574
5/9/2003,13.5,0,11.46715
5/10/2003,11,0,10.103
5/11/2003,20.2,0.29,10.195775
5/12/2003,10.4,0,9.64925
5/13/2003,8.84,0,8.84
5/14/2003,8.95,0.02,8.84412
5/15/2003,260,1.58,18.2664
5/16/2003,1130,3.91,43.2764
5/17/2003,23.4,0.08,19.30295
5/18/2003,438,1.89,26.42935
5/19/2003,26.2,0.03,19.299
5/20/2003,16.5,0,14.0861
5/21/2003,17.9,0.31,13.91555
5/22/2003,168,0.95,16.4505
5/23/2003,17.5,0.01,13.683445
5/24/2003,13.7,0,11.55102
5/25/2003,12.1,0.02,10.60921
5/26/2003,11.3,0.01,10.104555
5/27/2003,10.5,0,9.62384
5/28/2003,10,0,9.312935
5/29/2003,9.58,0,9.055745
5/30/2003,9.32,0,8.888505
5/31/2003,8.91,0,8.65683
6/1/2003,8.5,0,8.439615
6/2/2003,8.58,0,8.436155
6/3/2003,43.2,1.13,9.05632
6/4/2003,12.8,0.12,9.65003
6/5/2003,8.01,0,8.01
6/6/2003,14.1,0.53,8.23837
6/7/2003,115,0.97,10.552165
6/8/2003,13.9,0,11.087335
6/9/2003,9.11,0,8.561375
6/10/2003,7.97,0,7.97
6/11/2003,10.1,0.32,8.04988
6/12/2003,10.7,0.16,8.22613
6/13/2003,269,0.79,13.9621
6/14/2003,16.3,0.01,12.764255
6/15/2003,10.1,0,9.50325
6/16/2003,8.86,0.05,8.86
6/17/2003,108,1.88,12.5778
6/18/2003,474,1.58,22.7778
6/19/2003,31.4,0.04,20.92375
6/20/2003,14.2,0,11.822975
6/21/2003,11.3,0,10.23903
6/22/2003,10.7,0,9.865165
6/23/2003,9.93,0,9.428085
6/24/2003,9.77,0,9.31063
6/25/2003,9.33,0,9.062305
6/26/2003,8.82,0,8.79594
6/27/2003,8.77,0.06,8.77
6/28/2003,47.4,1.15,10.2186
6/29/2003,12.8,0.24,11.7097
6/30/2003,210,,17.035
7/1/2003,598,,30.706
7/2/2003,28.8,0.02,20.06635
7/3/2003,14.7,0,12.594
7/4/2003,13.7,0.1,11.94355
7/5/2003,18.7,0.01,11.891065
7/6/2003,13.2,0.01,11.39938
7/7/2003,10.5,0,9.958115
7/8/2003,9.67,0,9.516
7/9/2003,9.35,0,9.35
7/10/2003,161,1.63,12.101715
7/11/2003,20,,14.244675
7/12/2003,10,,8.98073
7/13/2003,14,,8.970045
7/14/2003,12,,8.97694
7/15/2003,12,,8.923355
7/16/2003,9.08,0.07,8.121875
7/17/2003,8.26,0,7.65081
7/18/2003,7.71,0,7.337565
7/19/2003,7.32,0.04,7.120275
7/20/2003,7.76,0,7.111995
7/21/2003,6.87,0,6.87
7/22/2003,7.63,0.39,6.891725
7/23/2003,77,1.1,8.16545
7/24/2003,9.58,0,8.064925
7/25/2003,7.45,0.01,6.920255
7/26/2003,7.2,,6.75737
7/27/2003,6.9,,6.577565
7/28/2003,6.6,,6.4075
7/29/2003,6.2,,6.2
7/30/2003,84,0.44,8.240185
7/31/2003,12.1,0.3,9.569815
8/1/2003,8.58,0.01,7.71112
8/2/2003,6.98,0,6.873105
8/3/2003,40.9,0.86,7.47465
8/4/2003,29,0,8.372235
8/5/2003,8.64,0.01,7.445155
8/6/2003,8.11,0.06,7.094015
8/7/2003,13.8,0.23,7.114
8/8/2003,8.98,0.01,7.12628
8/9/2003,7.36,0,6.438075
8/10/2003,6.77,0,6.080285
8/11/2003,5.98,0,5.645375
8/12/2003,6.77,0.12,5.63245
8/13/2003,14,0.38,5.7593
8/14/2003,6.18,0,5.636705
8/15/2003,5.81,0,5.41515
8/16/2003,5.73,0.01,5.34476
8/17/2003,5.46,0,5.183995
8/18/2003,5.39,0,5.128035
8/19/2003,5.21,0.02,5.020445
8/20/2003,5.22,0.01,5.005255
8/21/2003,5.1,0,4.935675
